id ra dec z_gsf z err_l_z err_u_z flux_f444w fluxerr_f444w logMstel err_l_logMstel err_u_logMstel logSFRUV err_l_logSFRUV err_u_logSFRUV beta err_l_beta err_u_beta Muv err_l_Muv err_u_Muv logT err_l_logT err_u_logT logZ err_l_logZ err_u_logZ Av err_l_Av err_u_Av sn_uv sn_det mgf err_l_mgf err_u_mgf logre_kpc err_l_logre_kpc err_u_logre_kpc n err_l_n err_u_n q err_l_q err_u_q chi2 no-data-sed scale_flux err_scale_flux_l err_scale_flux_u flag_gf flag_zspec flag_keydrop flag_unresolved flag_bd chi2nu_eazy chi2nu_spex keydrop
com1063-2632 188.92749 4.8717985 6.04 6.045 0.172 0.145 41.278 6.962 8.725 0.77 0.31 0.835 0.02 0.01 -2.67 0.07 0.1 -19.862 0.04 0.03 -0.86 1.06 0.43 -0.55 0.27 0.22 0.09 0.09 0.18 22.961 25.719 26.666 0.008 0.008 -0.613 0.01 0.01 1.0 0.0 0.0 0.401 0.021 0.021 0.606 7 1.136 0.009 0.009 0 0 1 0 0 0.136 13.237 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-2875 188.94112 4.868082 6.37 6.372 0.176 0.134 66.757 7.515 9.169 0.09 0.07 0.759 0.03 0.04 -2.38 0.1 0.17 -19.868 0.06 0.06 -0.58 0.32 0.2 -1.18 0.6 0.89 0.11 0.11 0.39 16.27 34.802 26.966 0.015 0.015 -0.652 0.015 0.015 1.0 0.0 0.0 0.591 0.032 0.032 0.488 7 1.021 0.014 0.014 0 0 1 0 0 0.87 11.62 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-3021 188.93146 4.8745794 6.0 6.005 0.24 0.199 47.204 5.933 7.897 0.15 0.24 0.587 0.02 0.03 -2.48 0.08 0.11 -19.293 0.07 0.06 -2.54 0.42 1.26 -0.56 0.09 0.09 0.32 0.13 0.12 13.265 27.287 27.278 0.022 0.022 -0.563 0.021 0.021 1.0 0.0 0.0 0.755 0.044 0.044 0.453 7 1.114 0.022 0.022 0 0 1 0 0 1.654 22.32 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-3236 188.95332 4.8656316 6.76 6.764 0.204 0.195 80.934 8.453 8.652 0.02 0.04 0.682 0.06 0.08 -2.18 0.05 0.07 -20.13 0.06 0.06 -1.5 0.28 0.21 -0.42 0.11 0.14 0.01 0.01 0.06 13.327 28.289 27.218 0.017 0.017 -0.899 0.02 0.02 1.0 0.0 0.0 0.689 0.079 0.079 0.904 7 0.817 0.013 0.013 0 0 1 0 0 1.015 4.599 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-4628 188.96568 4.8757343 5.2 5.2 0.082 0.038 489.26 18.156 9.903 0.02 0.03 1.563 0.04 0.05 -1.61 0.03 0.04 -21.022 0.06 0.04 -0.53 0.29 0.2 -1.82 0.11 0.11 0.03 0.03 0.04 15.677 98.583 25.68 0.017 0.017 -0.272 0.022 0.022 1.0 0.0 0.0 0.541 0.022 0.022 0.346 7 0.838 0.013 0.013 0 0 1 0 0 13.413 42.153 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-4644 188.9286 4.8941765 6.3 6.299 0.232 0.195 536.89 14.013 10.001 0.3 0.32 1.851 0.34 0.47 -0.56 0.23 0.45 -18.948 0.43 0.27 -1.6 0.3 0.21 -0.34 0.14 0.25 1.94 0.2 0.27 8.048 58.852 27.034 0.025 0.025 -0.461 0.029 0.029 1.0 0.0 0.0 0.726 0.052 0.052 0.259 7 1.098 0.025 0.025 0 0 1 0 0 3.751 24.018 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-5704 188.94789 4.8993416 6.58 6.583 0.034 0.037 89.877 9.646 8.815 0.52 0.23 0.885 0.02 0.02 -2.49 0.16 0.19 -21.483 0.06 0.05 -0.67 0.38 0.26 -0.62 0.1 0.09 0.05 0.05 0.07 20.536 33.916 26.664 0.011 0.011 -0.843 0.015 0.015 1.0 0.0 0.0 0.243 0.064 0.064 0.729 9 0.569 0.006 0.006 0 0 1 0 1 17.259 11.106 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-7600 188.94092 4.915246 5.72 5.721 0.193 0.184 100.821 4.781 9.375 0.09 0.08 0.905 0.02 0.02 -2.39 0.11 0.12 -20.132 0.07 0.06 -0.49 0.28 0.15 -1.61 0.26 1.17 0.38 0.29 0.18 11.739 36.553 26.493 0.027 0.027 0.082 0.017 0.017 1.0 0.0 0.0 0.2 0.01 0.01 0.625 9 1.085 0.027 0.028 0 0 1 0 0 1.794 37.666 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-8122 188.96327 4.9074202 5.15 5.153 0.039 0.04 63.217 6.183 8.56 0.04 0.06 0.38 0.09 0.24 -2.16 0.09 0.26 -18.959 0.12 0.09 -0.92 0.28 0.12 -0.84 0.26 0.28 0.15 0.09 0.08 12.704 33.914 27.57 0.029 0.029 -0.481 0.045 0.045 1.0 0.0 0.0 0.566 0.055 0.055 0.495 9 0.956 0.025 0.026 0 0 1 0 0 18.993 71.637 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-9040 188.95932 4.9153123 6.0 6.001 0.068 0.061 133.774 5.9 8.442 0.05 0.07 0.922 0.01 0.01 -2.31 0.04 0.04 -20.635 0.02 0.02 -2.76 0.44 1.03 -0.59 0.04 0.04 0.56 0.05 0.05 33.449 59.837 26.415 0.008 0.008 -0.497 0.129 0.129 1.0 0.0 0.0 0.671 0.015 0.015 0.764 9 0.875 0.007 0.007 0 0 1 0 0 6.217 42.788 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-9171 188.95187 4.9199114 6.01 6.011 0.071 0.062 103.102 3.809 9.568 0.03 0.03 0.998 0.06 0.07 -2.16 0.08 0.08 -19.991 0.04 0.04 -0.52 0.31 0.16 -0.09 0.06 0.07 0.38 0.12 0.11 25.963 61.947 26.446 0.013 0.013 -0.07 0.008 0.008 1.0 0.0 0.0 0.308 0.007 0.007 1.451 9 1.168 0.014 0.014 0 0 1 0 0 7.623 38.901 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-10716 188.9635 4.9250326 5.96 5.962 0.164 0.09 38.272 5.025 7.905 0.12 0.18 0.385 0.02 0.04 -2.33 0.08 0.12 -19.133 0.06 0.06 -2.62 0.42 1.05 -0.57 0.11 0.12 0.53 0.12 0.14 12.864 19.994 27.678 0.019 0.019 -0.512 0.202 0.202 1.0 0.0 0.0 0.645 0.034 0.034 0.711 9 0.944 0.016 0.017 0 0 1 0 0 7.309 23.687 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-14339 188.97955 4.9459105 6.02 6.018 0.189 0.257 0.0 0.0 8.064 0.19 0.26 0.564 0.04 0.03 -2.42 0.13 0.15 -18.74 0.1 0.08 -2.15 0.87 1.14 -0.5 0.21 0.17 0.4 0.18 0.16 9.291 16.217 27.263 0.033 0.033 -0.071 0.103 0.103 1.0 0.0 0.0 0.2 0.016 0.016 0.762 7 1.393 0.041 0.042 0 0 1 0 0 0.946 14.03 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-15130 188.97173 4.9549723 6.33 6.335 0.118 0.108 24.384 4.854 8.652 0.13 0.32 0.582 0.03 0.02 -2.7 0.06 0.1 -19.201 0.07 0.06 -0.55 0.31 0.17 -0.56 0.17 0.16 0.01 0.01 0.06 11.782 20.971 27.344 0.018 0.018 -0.829 0.018 0.018 1.0 0.0 0.0 0.697 0.075 0.075 0.223 9 1.179 0.019 0.019 0 0 1 0 0 6.048 17.191 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-15534 188.97287 4.9570713 5.86 5.858 0.22 0.133 56.904 6.183 8.906 0.16 0.13 0.736 0.02 0.02 -2.51 0.11 0.11 -19.746 0.06 0.05 -0.58 0.28 0.19 -0.6 0.64 0.37 0.28 0.16 0.19 16.591 30.163 26.896 0.025 0.025 -0.248 0.018 0.018 1.0 0.0 0.0 0.2 0.027 0.027 1.21 9 1.061 0.024 0.025 0 0 1 0 0 2.029 28.442 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-16374 189.00362 4.9468131 5.75 5.748 0.192 0.169 0.0 0.0 7.725 0.16 0.19 0.635 0.04 0.03 -2.61 0.06 0.07 -19.148 0.09 0.06 -2.53 0.45 1.07 -0.49 0.11 0.12 0.14 0.11 0.09 11.396 24.735 26.969 0.024 0.024 -0.219 0.018 0.018 1.0 0.0 0.0 0.2 0.022 0.022 0.988 7 1.273 0.028 0.029 0 0 1 0 0 4.237 23.347 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-17410 189.00334 4.9532456 6.6 6.596 0.097 0.136 0.0 0.0 9.33 0.1 0.21 1.4 0.06 0.06 -1.95 0.05 0.05 -20.624 0.04 0.04 -1.34 0.32 0.49 -0.13 0.26 0.09 0.33 0.1 0.13 19.992 81.926 25.964 0.019 0.019 -0.042 0.017 0.017 1.0 0.0 0.0 0.433 0.013 0.013 0.673 7 1.176 0.02 0.021 0 0 1 0 0 13.231 26.773 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-17888 188.97598 4.9694805 6.58 6.584 0.099 0.089 28.825 3.941 8.634 0.29 0.2 0.654 0.03 0.03 -2.66 0.12 0.2 -19.824 0.08 0.07 -0.64 0.31 0.23 -1.04 0.71 0.56 0.03 0.03 0.19 9.708 19.864 27.248 0.026 0.026 -0.613 0.026 0.026 1.0 0.0 0.0 0.832 0.062 0.062 0.195 9 0.943 0.023 0.023 0 0 1 0 0 1.498 9.34 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-18627 188.97969 4.9720902 6.43 6.426 0.096 0.078 65.387 5.457 8.427 0.07 0.08 0.717 0.02 0.02 -2.4 0.06 0.08 -19.734 0.07 0.05 -1.48 0.27 0.15 -0.62 0.23 0.16 0.05 0.04 0.1 14.299 39.385 26.991 0.013 0.013 -0.939 0.025 0.025 1.0 0.0 0.0 0.643 0.088 0.088 0.253 9 1.063 0.013 0.013 0 0 1 0 0 19.738 26.768 JWST_NIRCAM_MULTIPLE_F090W-d
com1063-20019 188.99167 4.9734235 6.8 6.796 0.219 0.15 0.0 0.0 9.47 0.15 0.13 0.7 0.22 0.21 -1.95 0.2 0.21 -18.754 0.2 0.14 -0.52 0.31 0.18 -0.4 0.25 0.18 0.48 0.36 0.26 9.651 25.922 27.41 0.022 0.022 -0.593 0.024 0.024 1.0 0.0 0.0 0.456 0.046 0.046 0.496 7 1.232 0.024 0.025 0 0 1 0 0 4.537 17.235 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-5240 3.6025238 -30.419222 6.23 6.23 0.0 0.0 139.508 4.63 8.516 0.18 0.16 0.646 0.15 0.09 -2.0 0.17 0.1 -19.25 0.05 0.06 -1.35 0.34 0.63 -1.19 0.48 0.57 0.29 0.28 0.25 19.803 89.439 27.585 0.024 0.024 -0.715 0.046 0.046 1.0 0.0 0.0 0.358 0.027 0.027 1.407 7 0.968 0.021 0.021 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
glassnircam-6031 3.5769939 -30.415525 5.13 5.13 0.0 0.0 130.441 7.181 8.681 0.03 0.04 0.541 0.04 0.06 -1.93 0.02 0.05 -18.761 0.06 0.07 -0.97 0.21 0.15 -1.07 0.1 0.07 0.0 0.0 0.05 11.628 63.07 27.125 0.045 0.045 0.049 0.055 0.055 0.783 0.079 0.079 0.45 0.017 0.017 0.814 7 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
