# objid id_nircam z ra_nirspec dec_nirspec mag_F444W z_phot_nircam mag_F160W mag_F814W z_phot_wfc3ir logoh err_logoh_neg err_logoh_pos logm_16 logm_50 logm_84 logsfr_16 logsfr_50 logsfr_84 av_16 av_50 av_84 t_lw_16 t_lw_50 t_lw_84 beta_16 beta_50 beta_84 Muv_16 Muv_50 Muv_84 mu_16 mu_50 mu_84 logre_uv_kpc ref sfr_Hb4861_16 sfr_Hb4861_50 sfr_Hb4861_84 sfr_Ha6564_16 sfr_Ha6564_50 sfr_Ha6564_84 r_offset_arcsec msa_flux_frac
10001 11256 6.119 177.38835140 22.38239098 26.4 6.430 26.5 28.2 6.360 -99.000 -0.000 0.000 9.405 9.414 9.424 0.760 0.767 0.774 0.001 0.003 0.007 -1.407 -1.066 -0.906 -2.406 -2.391 -2.370 -19.947 -19.965 -19.986 1.516 1.490 1.552 -0.738 morishita+24 -inf nan nan -inf nan nan 0.068 0.379
10007 -99 5.583 177.42004390 22.38866615 -99.0 -99.000 27.9 29.2 5.800 -99.000 -0.000 0.000 7.115 7.479 8.228 -0.288 -0.120 0.111 0.044 0.094 0.152 -2.205 -1.769 -0.969 -2.315 -2.061 -1.806 -17.283 -17.391 -17.483 3.343 3.214 3.479 -0.738 morishita+24 0.615 0.729 0.819 0.581 0.610 0.636 0.037 nan
10010 12898 6.311 177.41294860 22.41885757 25.7 6.510 26.2 29.1 6.580 7.658 0.158 0.207 9.562 9.592 9.609 0.911 0.970 1.030 0.013 0.031 0.054 -1.319 -1.044 -0.855 -2.156 -2.100 -2.039 -20.115 -20.146 -20.171 1.375 1.361 1.397 -0.441 morishita+24 1.017 1.030 1.043 1.088 1.097 1.105 0.030 0.436
10018 13916 6.372 177.41464230 22.41705704 27.8 6.580 27.4 -99.0 6.730 7.276 99.000 -99.000 8.661 8.731 8.760 0.393 0.411 0.428 0.009 0.029 0.055 -1.656 -1.425 -1.200 -2.663 -2.600 -2.528 -19.057 -19.105 -19.153 1.398 1.382 1.422 -0.524 morishita+24 0.736 0.776 0.813 0.842 0.861 0.878 0.075 0.506
150742 19888 3.678 177.42926030 22.41584969 23.4 3.890 -99.0 26.4 -99.000 -99.000 -0.000 0.000 10.394 10.427 10.452 1.699 1.867 2.041 0.589 0.645 0.709 -0.951 -0.789 -0.628 -0.600 -0.431 -0.252 -18.709 -18.820 -18.909 1.235 1.228 1.254 0.337 morishita+24 0.944 0.999 1.048 1.262 1.270 1.278 0.092 0.775
150880 22241 4.247 177.40365600 22.36835480 26.6 4.740 27.2 26.8 4.680 8.000 0.082 0.095 9.241 9.277 9.293 0.900 0.935 0.986 0.002 0.013 0.084 -1.006 -0.649 -0.448 -1.696 -1.667 -1.619 -19.164 -19.194 -19.224 1.323 1.314 1.345 -0.706 morishita+24 1.433 1.447 1.460 1.501 1.505 1.510 0.043 0.411
150903 21271 4.659 177.42420960 22.40887450 26.4 4.800 27.4 26.8 4.800 7.904 0.090 0.108 9.243 9.249 9.255 0.890 0.908 0.927 0.001 0.004 0.010 -0.900 -0.625 -0.446 -1.733 -1.721 -1.709 -19.224 -19.245 -19.268 1.380 1.366 1.408 -0.455 morishita+24 0.793 0.829 0.861 -inf nan nan 0.024 0.341
2 15655 7.232 177.41770940 22.41743088 23.8 7.800 25.0 -99.0 7.460 7.921 0.043 0.045 9.437 9.464 9.486 1.888 1.941 2.006 0.229 0.269 0.316 -2.133 -1.845 -1.576 -1.396 -1.345 -1.279 -20.963 -21.007 -21.058 1.381 1.366 1.402 -0.472 morishita+24 1.735 1.751 1.766 -inf nan nan 0.050 0.538
20014 12089 3.693 177.39159950 22.38426370 27.2 3.650 27.2 26.8 3.890 -99.000 -0.000 0.000 8.144 8.262 8.387 0.158 0.172 0.195 0.172 0.183 0.193 -2.091 -1.794 -1.602 -2.249 -2.222 -2.203 -18.407 -18.430 -18.451 1.592 1.561 1.640 -0.556 morishita+24 -inf nan nan 0.710 0.718 0.725 0.068 0.072
20018 15397 3.685 177.39918560 22.38410890 26.4 3.610 27.2 27.1 3.890 6.128 99.000 -99.000 8.509 8.562 8.632 0.073 0.109 0.146 0.171 0.183 0.197 -1.439 -1.241 -1.100 -2.066 -2.033 -1.998 -17.818 -17.841 -17.863 1.937 1.895 2.028 -0.944 morishita+24 -inf nan nan 0.827 0.836 0.845 0.050 0.205
